language	serif	sans-serif	cursive	fantasy	monospace
nb-NO	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nb-SJ	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nd	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nd-ZW	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nds	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nds-DE	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nds-NL	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ne	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ne-IN	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ne-NP	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nl	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nl-AW	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nl-BE	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nl-BQ	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nl-CW	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nl-NL	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nl-SR	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nl-SX	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nmg	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nmg-CM	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nn	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nn-NO	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nnh	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nnh-CM	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nnp	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nnp-IN	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
no	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nqo	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nqo-GN	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nr	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nr-ZA	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nso	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nso-ZA	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nus	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
